Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8,Errore_9,Errore_10,Errore_11,Errore_12,Errore_13,Errore_14,Errore_15,Errore_16,Errore_17
1767,/content/dataset/DATASET-2/DATASET-2/curva_1529.npy,1.1126810138511132,-0.7322488780195204,-1.170448929441899,0.6162845669343956,-3.1606847580431237,-4.450266958795232,-5.190087410717082,-6.469714399345971,-7.1777395264485415,-5.238360958026259,-8.09600777901596,-10.654926117450836,-15.202245658208598,-14.889316264407535,-15.008377935245626,-24.71844176520474,-26.213751777005644,-27.56563881870637,-31.912028880807014
1768,/content/dataset/DATASET-7/DATASET-7/curva_2122.npy,1.3809175940517897,1.401747163293883,1.1776356651134208,0.20784211943581746,-0.7780078765666607,-1.64955475513139,-4.091851515012342,-2.7899537242201196,-5.148383524910778,-4.125542041734875,-6.894531221610086,-9.72894689031132,-11.95500739870687,-11.83953423947271,-13.416387011454676,-18.815236826766228,-27.08650993868107,-28.25676969860092,-36.24677094176326
1769,/content/dataset/DATASET-5/DATASET-5/curva_462.npy,1.2141058666602833,0.36829951376621856,-0.3022459856420098,-0.8355262120972694,-1.8375735693964963,-4.07484425107371,-4.72402067729771,-5.6169335707285235,-5.29346898089696,-8.206511240054017,-8.253082754649324,-10.279610469190905,-13.221269385759971,-16.498784075570686,-20.581112835060523,-20.553314812798103,-28.316853631821516,-33.68276706722677,-36.13429273753189
1770,/content/dataset/DATASET-2/DATASET-2/curva_170.npy,1.1924619656567328,0.9009217571717764,0.39030782596717584,-0.21199077203408961,-1.6284659740146763,-2.765084072021793,-4.28722546475612,-4.790447721615125,-5.354016464159506,-6.992686547801921,-8.094697719460697,-10.762570659972253,-12.265464444293332,-13.320614938413405,-19.638846672620826,-21.48058344455757,-24.167746407770043,-29.087072330562126,-37.72244901685666
1771,/content/dataset/DATASET-7/DATASET-7/curva_2652.npy,1.3625008362593358,-0.727503195926749,-1.6006044226892495,-2.1163398270898877,-2.806641287106384,-4.138126992563041,-3.689392180636992,-6.248028546511119,-5.926697896915034,-7.422196430004482,-8.454569850500732,-12.224350448380637,-15.005845487160746,-13.52521831471889,-15.278560696375312,-19.97731897628017,-25.159208766623014,-33.14601196812358,-36.77382739133645
1772,/content/dataset/DATASET-2/DATASET-2/curva_897.npy,1.364634385932528,-0.9541957064245895,-2.0611587832850047,-2.6821367840793737,-5.40499284487726,-3.5316509323000176,-6.077824615367589,-6.177140307738468,-5.9755036311844885,-7.869786944559729,-10.708776729665333,-12.631759979591632,-15.3762893752365,-15.651387551200916,-20.088557135018572,-22.73063002163577,-26.446406523303978,-33.09279043654148,-41.3311910503538
1773,/content/dataset/DATASET-4/DATASET-4/curva_2977.npy,1.1679657627186442,-1.236617839156723,-1.6241582144161837,-2.874578399179068,-3.9732020215473645,-4.143159313928106,-5.874282990310271,-9.001369705161748,-7.576904439047066,-7.436010698615353,-10.322829259021184,-13.304566083665224,-16.700766762550806,-14.558970680644933,-19.28340600105523,-19.587212533679978,-28.27386704092766,-32.16579214340824,-38.626756414306904
1774,/content/dataset/DATASET-5/DATASET-5/curva_1826.npy,1.0052933377751236,-2.7597305828168057,-3.0230399892637925,-3.9058719455668767,-4.850303295979015,-5.67893481295193,-6.968232685935299,-8.524699100231665,-8.906461261975828,-9.833816271236088,-9.435323707512989,-13.45648232737495,-15.70533839515122,-16.908891836129307,-20.40414828028137,-22.302375885903334,-24.583315642855066,-32.53839015727202,-35.85867669911754
1775,/content/dataset/DATASET-5/DATASET-5/curva_2283.npy,1.3723068071433102,-1.3425939090959378,-1.6342978062292346,-3.1019836487107293,-3.0087400814407865,-3.2214379745322943,-3.8958338534285195,-5.8487757263623115,-6.212522613035152,-5.905813194443772,-8.971980817217421,-9.741060886040623,-14.319435401160858,-13.063960315655049,-17.33295898474217,-20.639001837204766,-23.131776192390898,-29.54842907747007,-34.844068198023606
1776,/content/dataset/DATASET-1/DATASET-1/curva_1033.npy,1.254618536841742,-0.36833452808235645,-0.7386523444617896,-1.54940681459641,-3.650716545923718,-3.18429484445853,-3.845022917395085,-6.9700393611594444,-7.072207281922196,-7.677640097838134,-9.342412775093809,-11.271724178756758,-17.453232873282392,-17.168410272680298,-21.061556462823447,-25.8764641672165,-30.90855106457098,-36.16298512473161,-39.94589153758757
1777,/content/dataset/DATASET-5/DATASET-5/curva_1226.npy,1.0404244892133965,-0.21406844277871057,-0.7163833309053178,-1.8120218954742733,-2.885588631599946,-3.3949377923625836,-4.496057437816722,-6.155288770109149,-4.3051766292736815,-8.906442741800108,-9.00563391235176,-12.686814917232256,-14.300804135894724,-13.650170561512054,-19.44808556175473,-21.95554257947233,-22.000414674707113,-26.73594521444252,-34.62920901159784
1778,/content/dataset/DATASET-4/DATASET-4/curva_2310.npy,1.0656099678083846,0.05951699501510928,-0.1618682490834929,-1.0990095097432813,-2.332574293353672,-2.884518623198527,-4.4392015896322405,-6.705433177742506,-5.9154671813524,-6.255999859364479,-9.521894916019006,-12.143764249414177,-14.653911710773555,-15.969952643550785,-17.5183149436235,-22.762615165570267,-24.415176096685727,-27.566342926108188,-34.02861958146018
1779,/content/dataset/DATASET-7/DATASET-7/curva_122.npy,1.350623191955418,2.723122767420049,3.2275119185416963,0.8482480258560483,0.725870456113799,0.4786052803640287,-0.8727785898106064,0.06876291643690138,-3.491024982820195,-4.070882806803878,-5.417236362715621,-8.929882381968234,-9.416168826497696,-12.52595836739576,-14.636576522177306,-17.257776677757892,-23.953030085377414,-29.417136212704154,-31.045814631266722
1780,/content/dataset/DATASET-1/DATASET-1/curva_2529.npy,1.422145692343142,-5.78257294813059,-6.028743156100169,-6.949106539902132,-7.229539353462642,-8.67157056811273,-8.743705022790921,-10.821796787069669,-11.401222948064945,-9.188107519891139,-13.148847239023532,-15.217661847670428,-17.598260056411288,-20.213600998174467,-21.949475863652975,-24.47012750948171,-26.36969425352355,-34.7505890624664,-41.34837695586468
1781,/content/dataset/DATASET-2/DATASET-2/curva_1170.npy,1.205059469988333,0.11543720835710859,-0.2723680772090595,-0.899939109027754,-2.208595057583878,-2.869470371024692,-5.853665323125337,-6.976681359686084,-5.011527433176891,-7.169496488540619,-8.530029739523082,-12.778382536666877,-15.026644304086881,-14.35441683385815,-20.656454793838183,-24.706814887039208,-29.91096518174527,-30.44278048576804,-37.14861596370792
